title,price,discount,link,image
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 940,28%,https://www.jumia.co.ke/nivea-uv-face-shine-control-cream-spf-50-50ml-67957548.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/575976/1.jpg?5572
Jameson Jameson Irish Whiskey - 1 Litre,"KSh 2,799",25%,https://www.jumia.co.ke/jameson-jameson-irish-whiskey-1-litre-58538274.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/283585/1.jpg?9040
Hisense 7.5Kg Twin Tub Top Load Washing Machine - White (2YRs WRTY),"KSh 17,799",26%,https://www.jumia.co.ke/hisense-7.5kg-twin-tub-top-load-washing-machine-white-2yrs-wrty-284340554.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/5043482/1.jpg?2827
"Poco C75, 6.88"", 128GB + 6GB RAM (Dual SIM), 5160mAh, Black (2YRs WRTY)","KSh 12,799",15%,https://www.jumia.co.ke/poco-c75-6.88-128gb-6gb-ram-dual-sim-5160mah-black-2yrs-wrty-286351374.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/3153682/1.jpg?6707
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)","KSh 23,999",23%,https://www.jumia.co.ke/roch-rfr-160dt-b-double-door-fridge-126l-silver-1yr-wrty-250741242.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/2147052/1.jpg?1257
"VON VCF503131NFY, 3 Gas + 1 electric hotplate, Electric oven 50x50 Grey (1YR WRTY)","KSh 22,999",34%,https://www.jumia.co.ke/von-vcf503131nfy-3-gas-1-electric-hotplate-electric-oven-50x50-grey-1yr-wrty-283640047.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/0046382/1.jpg?2898
"Smart Pro 20L Digital Microwave Oven (SMV-20L-V4 2), Black (1YR WRTY)","KSh 7,799",35%,https://www.jumia.co.ke/smart-pro-20l-digital-microwave-oven-smv-20l-v42-black-1yr-wrty-280221109.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Qqmee Q1000s, 2.4"" (Dual SIM), Wireless FM, 3000mAh - Black",KSh 850,15%,https://www.jumia.co.ke/qqmee-q1000s-2.4-dual-sim-wireless-fm-3000mah-black-305061930.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner","KSh 3,100",3%,https://www.jumia.co.ke/ailyons-gs014-1-2-burner-glass-top-infrared-double-burner-189880940.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/9088981/1.jpg?0456
"Mika 50cm by 60cm, 3 Gas Jet Burners + 1 Rapid Plate Standing Cooker with Electric Oven & Rotisserie","KSh 29,999",33%,https://www.jumia.co.ke/mika-50cm-by-60cm-3-gas-jet-burners-1-rapid-plate-standing-cooker-with-electric-oven-rotisserie-292372350.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/3273292/1.jpg?8936
ICECOOL Volsmart 4 Burners Free Standing Gas Cooker Cooking Range with 60L Oven 3 Gas + 1 Electric VGS-581 Black,"KSh 24,200",10%,https://www.jumia.co.ke/icecool-volsmart-4-burners-free-standing-gas-cooker-cooking-range-with-60l-oven-3-gas-1-electric-vgs-581-black-169060897.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/8060961/1.jpg?1305
Rebune Table top single Burner Gas Cooker with auto Ignition,"KSh 2,100",30%,https://www.jumia.co.ke/rebune-table-top-single-burner-gas-cooker-with-auto-ignition-306264954.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/9462603/1.jpg?0947
Amaze Table top single Burner Gas Cooker with auto Ignition,"KSh 1,881",41%,https://www.jumia.co.ke/amaze-table-top-single-burner-gas-cooker-with-auto-ignition-264569493.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/4965462/1.jpg?9280
